Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
103,1,Q,3,28478,2.0
104,0,W,1,94554,3.0
104,0,B,2,2308,4.0
104,0,Q,3,66325,8.0
105,2,W,1,23439,1e-06
105,2,B,2,113907,1e-06
105,2,Q,3,25407,1e-06
106,1,W,1,30366,1e-06
106,1,B,2,20377,1.0
106,1,Q,3,35596,1e-06
107,1,W,1,50515,9.0
107,1,B,2,18367,5.0
107,1,Q,3,32051,11.0
108,0,W,1,35650,1e-06
108,0,B,2,1667,1e-06
108,0,Q,3,41391,1e-06
109,0,W,1,63642,1.0
109,0,B,2,5270,1.0
109,0,Q,3,43570,5.0
110,0,W,1,11229,1e-06
110,0,B,2,11043,1e-06
110,0,Q,3,86521,2.0
112,0,W,1,56706,1e-06
112,0,B,2,3291,1e-06
112,0,Q,3,18382,1e-06
113,2,W,1,1448,1e-06
113,2,B,2,106483,1.0
113,2,Q,3,12247,1e-06
114,0,W,1,89519,4.0
114,0,B,2,17475,4.0
114,0,Q,3,51996,4.0
115,0,W,1,17738,1e-06
115,0,B,2,8688,1e-06
115,0,Q,3,107392,1.0
120,1,W,1,43985,1.0
120,1,B,2,24541,20.0
120,1,Q,3,31045,5.0
121,1,W,1,61488,3.0
121,1,B,2,14774,4.0
121,1,Q,3,28120,1.0
122,0,W,1,102714,2.0
122,0,B,2,4439,1e-06
122,0,Q,3,17651,1e-06
